baybayin,ambiguity_type,word_count,unique_word_count,words
ᜎᜃᜒ,E/I,42,2,"lake, laki"
ᜊᜓᜆᜒ,COMBINED,40,2,"bote, buti"
ᜐᜒᜇ,COMBINED,38,3,"seda, sera, sira"
ᜆᜓᜇᜓ,COMBINED,38,3,"todo, toro, turo"
ᜇᜀᜈ᜔,D/R,36,2,"daan, raan"
ᜇᜋᜒ,D/R,35,2,"dami, rami"
ᜐᜓᜈᜓᜇ᜔,O/U,33,2,"sunod, sunud"
ᜐᜓᜎᜓ,O/U,32,2,"solo, sulo"
ᜇᜓᜂᜈ᜔,COMBINED,31,4,"doon, duon, roon, ruon"
ᜊᜓᜂ,O/U,29,2,"boo, buo"
ᜐᜃᜒᜆ᜔,E/I,29,2,"saket, sakit"
ᜇᜒᜆᜓ,COMBINED,28,3,"dito, reto, rito"
ᜆᜂ,O/U,28,2,"tao, tau"
ᜀᜌᜓᜐ᜔,O/U,27,2,"ayos, ayus"
ᜇᜓᜐ,COMBINED,25,3,"dusa, rosa, rusa"
ᜊᜒᜈ᜔ᜆ,E/I,24,2,"benta, binta"
ᜇᜎᜒ,COMBINED,24,3,"dale, dali, rali"
ᜇᜄ᜔ᜇᜄ᜔,D/R,23,2,"dagdag, ragdag"
ᜇᜒᜈᜒᜄ᜔,D/R,23,2,"dinig, rinig"
ᜐᜒᜄᜓᜇᜓ,E/I,22,2,"seguro, siguro"
ᜐᜒᜎ,E/I,22,2,"sela, sila"
ᜐᜓᜇᜒ,O/U,22,2,"sori, suri"
ᜊᜓᜆᜓ,O/U,21,2,"boto, buto"
ᜇᜋ᜔ᜇᜋ᜔,D/R,21,2,"damdam, ramdam"
ᜇᜆᜒ,D/R,21,2,"dati, rati"
ᜁᜏᜈ᜔,E/I,21,2,"ewan, iwan"
ᜆᜒᜇ,D/R,21,2,"tida, tira"
ᜆᜓᜆᜓ,O/U,21,2,"toto, tuto"
ᜑᜇᜒ,COMBINED,20,2,"hade, hari"
